Model,F1,AUROC,Accuracy
Stacking (LR),0.8981651376146789,0.9552370564413053,0.899365367180417
Weighted Ensemble,0.896121266161391,0.9557795479073392,0.8943789664551224
ET,0.8943466172381835,0.9518362103190097,0.8966455122393472
LGBM,0.8909426987060998,0.9550989677044966,0.8930190389845875
XGB,0.8867132867132868,0.9514724944497369,0.8898458748866727
SVM,0.8844221105527639,0.9460467578326315,0.885312783318223
RF,0.883441258094357,0.9452716526016164,0.885766092475068
CAT,0.8801463860933212,0.9465834956012984,0.8812330009066183
GB,0.8674259681093394,0.9404500542080487,0.8680870353581143
MLP,0.8595348837209302,0.9309498778983223,0.8631006346328196
LR,0.8405927256398743,0.9190142436888105,0.8390752493200363
Combined Meta,0.8325709057639524,0.9033140474877303,0.8340888485947416
