Model,F1,AUROC,Accuracy
Weighted Ensemble,0.8730791121229369,0.945819422872453,0.8737259343148358
Stacking (LR),0.872748402091807,0.9467223469870678,0.8759909399773499
SVM,0.8723281340265743,0.9339608484921552,0.8748584371460929
ET,0.8717047451669596,0.9425501706449623,0.8759909399773499
LGBM,0.8674418604651163,0.9413266058646461,0.8708946772366931
XGB,0.8658109684947491,0.9387371118484422,0.869762174405436
RF,0.8574766355140186,0.9309346418892661,0.8618346545866364
CAT,0.8536443148688047,0.9338531132284795,0.8578708946772367
GB,0.8505481823427582,0.9298066280273288,0.8533408833522084
MLP,0.8392857142857143,0.9187983926924708,0.8471121177802945
LR,0.825938566552901,0.9055867147029135,0.8267270668176671
Combined Meta,0.8163030998851895,0.8929765586022118,0.8187995469988675
