Model,F1,AUROC,Accuracy
Stacking (LR),0.8925468678555099,0.952932289667428,0.8934723481414325
ET,0.8854748603351955,0.9501088681737517,0.8884859474161378
SVM,0.8850206138341732,0.945246171941848,0.8862194016319129
XGB,0.8828996282527881,0.9479245180661987,0.885766092475068
MLP,0.881651376146789,0.9392799987506256,0.8830462375339981
Weighted Ensemble,0.8804143126177024,0.9519948479749862,0.8848594741613781
LGBM,0.8802228412256268,0.9497537828505296,0.8830462375339981
RF,0.8786340562990309,0.9440013184186539,0.8807796917497733
GB,0.8698441796516957,0.9387724404471773,0.8712601994560291
LR,0.8365953573054165,0.912568458724208,0.8372620126926564
Combined Meta,0.8163078332569857,0.8973014337391881,0.8182230281051677
