Model,F1,AUROC,Accuracy
Stacking (LR),0.8724754760530872,0.9454526099508906,0.8748584371460929
LGBM,0.8714368819080861,0.9416600721569754,0.8748584371460929
SVM,0.869314910765688,0.9347002458672624,0.8714609286523216
Weighted Ensemble,0.8683901292596945,0.9443868003780995,0.8731596828992072
MLP,0.8663164039696439,0.9350407662542372,0.8703284258210645
ET,0.8643274853801169,0.9409264463138508,0.8686296715741789
XGB,0.8611435239206534,0.9367202820611807,0.8652321630804077
RF,0.8541545613015689,0.931953637924865,0.8578708946772367
GB,0.8483796296296297,0.9283239855891259,0.8516421291053228
LR,0.8431935669155658,0.9123945573170842,0.8454133635334088
Combined Meta,0.8079545454545455,0.8855646289738599,0.8086070215175538
