Model,F1,AUROC,Accuracy
Stacking (LR),0.8924339106654512,0.9514018061677993,0.8930190389845875
LGBM,0.8881670533642692,0.9512563198200902,0.8907524932003626
ET,0.8844914864242982,0.9457635937264972,0.8862194016319129
Weighted Ensemble,0.8839779005524862,0.9490945735236218,0.885766092475068
XGB,0.8832252085264134,0.9474613454281531,0.885766092475068
SVM,0.8808007279344859,0.9388431287291151,0.8812330009066183
RF,0.877890841813136,0.9392084885119212,0.8803263825929284
GB,0.8704902867715079,0.9421132837255026,0.8730734360834089
MLP,0.8627095604893521,0.9300728500282341,0.8626473254759747
Combined Meta,0.8389444949954504,0.9084693603285853,0.8395285584768812
LR,0.8338643604915794,0.9072651936653436,0.8345421577515866
