Model,F1,AUROC,Accuracy
Stacking (LR),0.8716763005780347,0.9427964226762209,0.8742921857304643
Weighted Ensemble,0.869413813116657,0.9406237615254287,0.8725934314835787
SVM,0.8620689655172413,0.9269259922866682,0.8640996602491506
LGBM,0.8599882835383714,0.9378495784857809,0.8646659116647791
MLP,0.856156501726122,0.9276249889378971,0.8584371460928653
XGB,0.855621301775148,0.9322794088412174,0.8618346545866364
ET,0.8536155202821869,0.9325968431002618,0.8590033975084937
RF,0.850412249705536,0.9259140503457146,0.8561721404303511
GB,0.8483439860546194,0.9287138846386186,0.8522083805209513
Combined Meta,0.8237327188940092,0.8949850517321651,0.8267270668176671
LR,0.8225898459783229,0.896368936845332,0.8238958097395244
