Model,F1,AUROC,Accuracy
Weighted Ensemble,0.8653198653198653,0.9357102639642216,0.8640996602491506
SVM,0.8599311136624569,0.9260256332973789,0.8618346545866364
Stacking (LR),0.8596287703016241,0.9373929861778222,0.8629671574178935
ET,0.8512639623750735,0.9308429386588756,0.8567383918459797
LGBM,0.8491686460807601,0.9333311102247177,0.8561721404303511
MLP,0.8463768115942029,0.9203951832076636,0.8499433748584372
XGB,0.8446026097271648,0.9328360410368749,0.8516421291053228
GB,0.8378378378378378,0.9240145750421,0.8437146092865232
RF,0.8352803738317757,0.9224742172840711,0.840317100792752
LR,0.8258877434135166,0.9039129704279527,0.8278595696489242
Combined Meta,0.8224719101123595,0.8919030536534439,0.8210645526613817
