Model,F1,AUROC,Accuracy
Stacking (LR),0.8916323731138546,0.9500899631681172,0.8925657298277425
Weighted Ensemble,0.8886877828054298,0.9438603528331617,0.8884859474161378
SVM,0.8834244080145719,0.9409411733761628,0.8839528558476881
LGBM,0.8822170900692841,0.9471374944620663,0.8844061650045331
MLP,0.8788706739526412,0.9461782709153064,0.8794197642792384
XGB,0.878003696857671,0.944812178769021,0.8803263825929284
ET,0.8766355140186916,0.9433051210372437,0.8803263825929284
RF,0.8761638733705773,0.9397415274751378,0.8794197642792384
GB,0.8725264611136677,0.9434732111960374,0.8744333635539437
LR,0.8355233348436792,0.9183361293562681,0.8354487760652766
Combined Meta,0.8233683249657691,0.9094803671516485,0.8245693563009973
