Model,F1,AUROC,Accuracy
Weighted Ensemble,0.8663224325874929,0.9328283456608982,0.8680634201585504
SVM,0.8637413394919169,0.929725826579572,0.8663646659116648
Stacking (LR),0.8632183908045977,0.9335222120614758,0.8652321630804077
MLP,0.8592677345537757,0.9313238996574276,0.8607021517553793
LGBM,0.8534432018834609,0.9331464212012737,0.8590033975084937
GB,0.8509643483343075,0.9263744903416619,0.8556058890147226
XGB,0.8505882352941176,0.9280514410232799,0.8561721404303511
ET,0.8467933491686461,0.92624110382473,0.853907134767837
RF,0.8424135910954892,0.9203278486678663,0.847678369195923
Combined Meta,0.8186528497409327,0.8957738277697904,0.8216308040770102
LR,0.8155230596175478,0.8940757148042361,0.8142695356738392
