Metric,Value
True Negatives,979
False Positives,124
False Negatives,75
True Positives,1028
Threshold (Youden),0.5078534031413613
Threshold (sensitivity),0.18518518518518517
CV Folds (stacking),10
CV Folds (meta OOF),5
Base Models,10
Meta Models (top3 used),3
MLP meta used,True
Toxic Weight Multiplier,1.5
Tripeptides,1000
CKSAAP max k,3
Optuna XGB trials,20
Optuna RF trials,20
Optuna LGBM trials,20
ESM2 model,ESM-2 650M (1280-dim)
ESM2 dim,1280
ESM2 selected features,211
PEPE selected features,102
Conv selected features,900
